Tempo (s) 2000000
num_threads, 1, 2, 3, 4, 5, 6, 7, 8
run 1, 0.693049, 0.809254, 0.925904, 1.174314, 1.483538, 1.618402, 1.759750, 2.941886
run 2, 0.698105, 0.809983, 0.995995, 1.211561, 1.680627, 1.684584, 1.764865, 2.940651
run 3, 0.799638, 0.967900, 0.988193, 1.295128, 1.641437, 1.618235, 1.762545, 2.938804
run 4, 0.691781, 0.803077, 0.984106, 1.192800, 1.493792, 1.647661, 1.762301, 2.941696
run 5, 0.700861, 1.013683, 1.100894, 1.246485, 1.483182, 1.638220, 1.767270, 2.934452
run 6, 0.695475, 0.813930, 0.934525, 1.179922, 1.511156, 1.618972, 1.757597, 2.935393
run 7, 0.774302, 0.815508, 1.005513, 1.167007, 1.481946, 1.617750, 1.762547, 2.934840
run 8, 0.690589, 0.956020, 1.142503, 1.266605, 1.478918, 1.621726, 1.762514, 2.937293
run 9, 0.705992, 0.891961, 0.930427, 1.158630, 1.486130, 1.621930, 1.760311, 2.960720
run 10, 0.705960, 0.844006, 1.308591, 1.275425, 1.485736, 1.622291, 1.759381, 2.935832
