Tempo (s) 8000000
num_threads, 1, 2, 3, 4, 5, 6, 7, 8
run 1, 0.692538, 1.259617, 1.096749, 1.265870, 1.498643, 1.656598, 1.760210, 2.938782
run 2, 0.743822, 1.023598, 1.092134, 1.223021, 1.659241, 1.624303, 1.764769, 2.938469
run 3, 0.702412, 0.947569, 0.980697, 1.229034, 1.484937, 1.647738, 1.761189, 2.935739
run 4, 0.701528, 1.178390, 1.212818, 1.505080, 1.481622, 1.621028, 1.765598, 2.936191
run 5, 0.702994, 0.801845, 1.249556, 1.167621, 1.490090, 1.660234, 1.758363, 2.939171
run 6, 0.823402, 0.823973, 0.943242, 1.347713, 1.598546, 1.620277, 1.769235, 2.937880
run 7, 0.785225, 0.822413, 1.187929, 1.278533, 1.480477, 1.793282, 1.762406, 2.958761
run 8, 0.815586, 0.819108, 0.953035, 1.154841, 1.485970, 1.622062, 1.762126, 2.936615
run 9, 1.035073, 0.810791, 1.088765, 1.384223, 1.480674, 1.620393, 1.821444, 2.941001
run 10, 0.745001, 0.820128, 0.980929, 1.436935, 1.634063, 1.625570, 1.766522, 2.940927
