Tempo (s) input[8000000] p[1000]
num_threads, 1, 2, 3, 4, 5, 6, 7, 8
run 1, 0.487398, 0.404768, 0.394111, 0.387948, 0.378994, 0.405477, 0.389278, 0.386845
run 2, 0.487254, 0.415279, 0.397122, 0.442865, 0.428781, 0.395887, 0.413591, 0.383078
run 3, 0.469067, 0.402119, 0.441937, 0.387677, 0.399473, 0.407224, 0.379504, 0.380855
run 4, 0.478617, 0.439292, 0.586143, 0.481123, 0.483376, 0.411871, 0.419079, 0.471322
run 5, 0.561052, 0.480728, 0.442065, 0.438196, 0.431149, 0.408747, 0.426233, 0.432555

Vazao (MEPS) input[8000000] p[1000]
num_threads, 1, 2, 3, 4, 5, 6, 7, 8
run 1, 164.14, 197.64, 202.99, 206.21, 211.08, 197.30, 205.51, 206.80
run 2, 164.19, 192.64, 201.45, 180.64, 186.58, 202.08, 193.43, 208.83
run 3, 170.55, 198.95, 181.02, 206.36, 200.26, 196.45, 210.80, 210.05
run 4, 167.15, 182.11, 136.49, 166.28, 165.50, 194.24, 190.89, 169.74
run 5, 142.59, 166.41, 180.97, 182.57, 185.55, 195.72, 187.69, 184.95
