Tempo (s) 1000000
num_threads, 1, 2, 3, 4, 5, 6, 7, 8
run 1, 0.017694, 0.009384, 0.006702, 0.005234, 0.006404, 0.005467, 0.003841, 0.003473
run 2, 0.017485, 0.009196, 0.006525, 0.005816, 0.004951, 0.004313, 0.003813, 0.004284
run 3, 0.016559, 0.008662, 0.006195, 0.004901, 0.004802, 0.004124, 0.003685, 0.003312
run 4, 0.016696, 0.008714, 0.006222, 0.004992, 0.004748, 0.004350, 0.003748, 0.003332
run 5, 0.016742, 0.009072, 0.006481, 0.005828, 0.004990, 0.004271, 0.003861, 0.004250
run 6, 0.017286, 0.009101, 0.006563, 0.005858, 0.004991, 0.004327, 0.003800, 0.004331
run 7, 0.017680, 0.009247, 0.006587, 0.005207, 0.006267, 0.004338, 0.003847, 0.004196
run 8, 0.017718, 0.009132, 0.006503, 0.005123, 0.004977, 0.004302, 0.003864, 0.003513
run 9, 0.017526, 0.009230, 0.006630, 0.005190, 0.004999, 0.004324, 0.003759, 0.004958
run 10, 0.017215, 0.009131, 0.006497, 0.005048, 0.004931, 0.004174, 0.003748, 0.004144
