Vazao (MOPS) 1000000
num_threads, 1, 2, 3, 4, 5, 6, 7, 8
run 1, 11.30, 21.31, 29.84, 38.21, 31.23, 36.59, 52.07, 57.59
run 2, 11.44, 21.75, 30.65, 34.39, 40.40, 46.37, 52.45, 46.69
run 3, 12.08, 23.09, 32.28, 40.81, 41.65, 48.49, 54.28, 60.39
run 4, 11.98, 22.95, 32.15, 40.06, 42.12, 45.97, 53.37, 60.02
run 5, 11.95, 22.05, 30.86, 34.31, 40.08, 46.82, 51.80, 47.06
run 6, 11.57, 21.98, 30.47, 34.14, 40.07, 46.23, 52.63, 46.18
run 7, 11.31, 21.63, 30.36, 38.41, 31.91, 46.11, 51.99, 47.66
run 8, 11.29, 21.90, 30.76, 39.04, 40.18, 46.49, 51.77, 56.92
run 9, 11.41, 21.67, 30.16, 38.53, 40.01, 46.25, 53.21, 40.34
run 10, 11.62, 21.90, 30.78, 39.62, 40.56, 47.91, 53.35, 48.27
