Tempo (s) input[8000000] p[100000]
num_threads, 1, 2, 3, 4, 5, 6, 7, 8
run 1, 0.513964, 0.453795, 0.467013, 0.440445, 0.432557, 0.452384, 0.589509, 0.384533
run 2, 0.500495, 0.447347, 0.419949, 0.393218, 0.397433, 0.415725, 0.461621, 0.411941
run 3, 0.472855, 0.403047, 0.482486, 0.415680, 0.408150, 0.418722, 0.400913, 0.410964
run 4, 0.511736, 0.412023, 0.446401, 0.415914, 0.403394, 0.407768, 0.397601, 0.393761
run 5, 0.473439, 0.401263, 0.383829, 0.394474, 0.388332, 0.393560, 0.396034, 0.404798

Vazao (MEPS) input[8000000] p[100000]
num_threads, 1, 2, 3, 4, 5, 6, 7, 8
run 1, 155.65, 176.29, 171.30, 181.63, 184.95, 176.84, 135.71, 208.04
run 2, 159.84, 178.83, 190.50, 203.45, 201.29, 192.44, 173.30, 194.20
run 3, 169.19, 198.49, 165.81, 192.46, 196.01, 191.06, 199.54, 194.66
run 4, 156.33, 194.16, 179.21, 192.35, 198.32, 196.19, 201.21, 203.17
run 5, 168.98, 199.37, 208.43, 202.80, 206.01, 203.27, 202.00, 197.63
