Tempo (s) 2000000
num_threads, 1, 2, 3, 4, 5, 6, 7, 8
run 1, 0.017312, 0.009318, 0.006514, 0.006549, 0.005090, 0.004346, 0.003989, 0.004611
run 2, 0.018559, 0.009567, 0.006916, 0.005493, 0.005289, 0.005879, 0.005102, 0.004449
run 3, 0.018238, 0.009517, 0.006811, 0.005333, 0.006200, 0.004200, 0.004930, 0.005096
run 4, 0.017396, 0.009324, 0.006583, 0.005175, 0.004973, 0.004456, 0.003804, 0.004372
run 5, 0.018273, 0.009075, 0.006572, 0.005237, 0.005081, 0.004436, 0.004883, 0.003846
run 6, 0.018389, 0.009649, 0.006884, 0.005323, 0.005052, 0.004339, 0.003890, 0.003816
run 7, 0.018324, 0.009613, 0.006837, 0.005435, 0.006615, 0.005517, 0.004907, 0.004390
run 8, 0.017731, 0.009266, 0.006461, 0.005197, 0.005113, 0.004482, 0.004623, 0.004555
run 9, 0.017860, 0.009318, 0.006761, 0.005319, 0.005062, 0.004406, 0.004089, 0.004394
run 10, 0.018067, 0.009607, 0.006701, 0.006045, 0.005117, 0.004490, 0.003996, 0.004474
