Vazao (MOPS) 4000000
num_threads, 1, 2, 3, 4, 5, 6, 7, 8
run 1, 10.58, 19.96, 28.01, 31.07, 37.32, 43.40, 48.64, 45.32
run 2, 10.46, 20.20, 28.68, 32.07, 38.34, 43.23, 49.71, 43.02
run 3, 10.18, 19.62, 27.59, 36.50, 39.35, 44.16, 40.19, 43.53
run 4, 10.54, 20.29, 28.24, 31.78, 32.88, 29.23, 48.77, 36.90
run 5, 11.11, 21.43, 29.74, 37.51, 38.39, 43.52, 49.59, 40.20
run 6, 10.76, 20.59, 27.62, 31.20, 38.02, 44.28, 49.11, 36.50
run 7, 10.47, 21.62, 30.37, 33.98, 37.25, 42.83, 49.33, 43.40
run 8, 10.81, 20.54, 28.95, 35.77, 37.18, 45.29, 50.50, 54.42
run 9, 10.46, 20.11, 28.03, 35.70, 37.42, 43.49, 49.38, 44.15
run 10, 10.49, 20.12, 27.74, 35.39, 36.60, 42.59, 37.57, 41.91
