Vazao (MOPS) 16000000
num_threads, 1, 2, 3, 4, 5, 6, 7, 8
run 1, 9.10, 17.87, 25.16, 27.02, 34.20, 37.87, 43.10, 34.34
run 2, 9.29, 16.79, 25.81, 31.42, 33.80, 38.11, 40.97, 47.35
run 3, 9.01, 17.79, 24.76, 27.15, 32.44, 38.09, 44.86, 37.03
run 4, 9.43, 19.50, 25.83, 31.22, 31.26, 37.98, 42.34, 42.20
run 5, 9.76, 16.89, 26.31, 27.42, 33.58, 38.70, 33.07, 37.06
run 6, 10.11, 18.34, 25.27, 33.04, 32.73, 36.85, 41.99, 38.39
run 7, 10.09, 17.56, 25.79, 30.55, 33.54, 39.85, 28.40, 39.87
run 8, 9.38, 17.54, 25.01, 27.41, 32.45, 37.67, 43.30, 40.73
run 9, 9.46, 17.32, 24.85, 31.18, 31.46, 40.68, 36.11, 46.28
run 10, 9.47, 18.36, 24.85, 31.88, 32.97, 38.77, 42.46, 40.48
