Tempo (s) 4000000
num_threads, 1, 2, 3, 4, 5, 6, 7, 8
run 1, 0.018901, 0.010020, 0.007140, 0.006438, 0.005360, 0.004608, 0.004112, 0.004413
run 2, 0.019127, 0.009902, 0.006973, 0.006235, 0.005217, 0.004626, 0.004023, 0.004649
run 3, 0.019643, 0.010195, 0.007249, 0.005479, 0.005083, 0.004529, 0.004977, 0.004594
run 4, 0.018969, 0.009859, 0.007083, 0.006294, 0.006083, 0.006842, 0.004101, 0.005420
run 5, 0.017996, 0.009332, 0.006725, 0.005331, 0.005209, 0.004596, 0.004033, 0.004975
run 6, 0.018588, 0.009713, 0.007241, 0.006410, 0.005260, 0.004517, 0.004073, 0.005480
run 7, 0.019101, 0.009250, 0.006585, 0.005885, 0.005370, 0.004669, 0.004054, 0.004609
run 8, 0.018499, 0.009738, 0.006909, 0.005591, 0.005380, 0.004416, 0.003960, 0.003675
run 9, 0.019119, 0.009943, 0.007134, 0.005602, 0.005344, 0.004599, 0.004050, 0.004530
run 10, 0.019057, 0.009941, 0.007210, 0.005651, 0.005464, 0.004695, 0.005324, 0.004772
