Tempo (s) 1000000
num_threads, 1, 2, 3, 4, 5, 6, 7, 8
run 1, 0.693335, 0.953441, 1.018366, 1.218236, 1.486503, 1.618943, 1.765171, 2.947398
run 2, 0.832003, 0.838210, 1.045894, 1.210662, 1.480564, 1.630918, 1.759949, 2.937281
run 3, 0.692929, 0.784363, 1.109502, 1.516610, 1.610986, 1.723263, 1.761364, 2.941397
run 4, 0.780357, 0.819611, 1.069470, 1.269762, 1.543466, 1.642926, 1.760584, 2.940827
run 5, 0.845102, 1.001935, 0.947973, 1.571509, 1.482043, 1.636872, 1.760828, 2.939031
run 6, 0.691958, 0.971472, 1.188279, 1.188647, 1.634352, 1.754223, 1.760817, 2.936865
run 7, 0.835223, 0.816709, 1.333219, 1.152475, 1.487131, 1.624520, 1.759622, 2.940669
run 8, 0.693165, 0.821449, 1.117494, 1.332627, 1.607472, 1.622981, 1.764307, 2.933446
run 9, 0.692634, 0.869110, 0.936184, 1.206232, 1.481999, 1.621800, 1.761560, 2.943393
run 10, 0.848113, 0.871015, 1.249264, 1.233090, 1.481232, 1.622416, 1.759165, 2.934792
