Tempo (s) 16000000
num_threads, 1, 2, 3, 4, 5, 6, 7, 8
run 1, 0.021988, 0.011192, 0.007949, 0.007401, 0.005849, 0.005282, 0.004641, 0.005823
run 2, 0.021525, 0.011912, 0.007749, 0.006365, 0.005918, 0.005248, 0.004882, 0.004224
run 3, 0.022187, 0.011241, 0.008078, 0.007365, 0.006166, 0.005251, 0.004458, 0.005402
run 4, 0.021219, 0.010255, 0.007744, 0.006406, 0.006397, 0.005266, 0.004724, 0.004739
run 5, 0.020495, 0.011838, 0.007602, 0.007294, 0.005956, 0.005167, 0.006047, 0.005397
run 6, 0.019791, 0.010907, 0.007914, 0.006053, 0.006111, 0.005428, 0.004763, 0.005210
run 7, 0.019828, 0.011388, 0.007755, 0.006547, 0.005963, 0.005019, 0.007043, 0.005016
run 8, 0.021314, 0.011405, 0.007997, 0.007296, 0.006162, 0.005309, 0.004619, 0.004911
run 9, 0.021134, 0.011550, 0.008049, 0.006415, 0.006358, 0.004917, 0.005539, 0.004321
run 10, 0.021125, 0.010892, 0.008050, 0.006274, 0.006066, 0.005159, 0.004710, 0.004941
