Tempo (s) 16000000
num_threads, 1, 2, 3, 4, 5, 6, 7, 8
run 1, 0.772339, 0.943920, 0.983967, 1.276914, 1.669432, 1.627192, 1.764565, 2.940015
run 2, 0.864433, 0.832185, 1.210197, 1.259697, 1.563486, 1.636789, 1.770144, 2.962961
run 3, 0.699799, 0.993314, 1.322625, 1.304658, 1.630249, 1.709021, 1.761329, 2.944674
run 4, 0.708336, 0.878529, 1.075950, 1.168862, 1.487885, 1.729308, 1.767019, 2.941417
run 5, 0.703957, 0.801346, 1.079768, 1.317420, 1.754311, 1.632384, 1.767831, 2.940519
run 6, 0.707021, 0.811105, 1.118943, 1.537836, 2.079480, 1.707710, 1.766827, 2.939322
run 7, 0.705407, 0.806279, 1.614180, 1.202102, 1.617667, 1.646643, 1.764799, 2.934508
run 8, 0.702912, 0.815135, 1.161980, 1.235668, 1.702029, 1.666394, 1.766661, 2.940971
run 9, 0.700976, 0.806114, 1.100805, 1.350291, 1.770656, 1.620300, 1.760050, 2.942372
run 10, 0.698400, 0.816714, 1.132022, 1.445534, 1.572382, 1.623316, 1.775242, 2.941057
