Vazao (MOPS) 8000000
num_threads, 1, 2, 3, 4, 5, 6, 7, 8
run 1, 10.09, 18.82, 27.84, 29.25, 33.83, 40.07, 35.44, 42.18
run 2, 10.24, 18.88, 26.79, 33.67, 34.45, 39.61, 45.26, 40.74
run 3, 10.25, 18.67, 26.23, 28.33, 33.97, 37.85, 44.35, 50.11
run 4, 9.93, 18.96, 25.90, 35.29, 34.91, 40.77, 45.29, 41.03
run 5, 9.94, 19.31, 25.51, 29.20, 34.33, 39.92, 45.01, 43.56
run 6, 9.99, 18.19, 27.10, 29.33, 35.38, 40.39, 42.66, 34.61
run 7, 10.45, 19.93, 27.32, 32.58, 33.98, 39.45, 45.13, 33.55
run 8, 9.78, 18.46, 25.72, 34.64, 33.87, 39.67, 42.09, 39.36
run 9, 10.10, 18.65, 25.57, 33.40, 35.44, 38.18, 43.55, 39.20
run 10, 10.24, 19.85, 25.67, 32.69, 34.52, 40.79, 35.52, 33.83
